;DEP;REG;LIBCOM;score_competence_administratives_region;score_competence_administratives_departement
26873;67;24;Huisseau-sur-Cosson;46.0;35.0
26874;67;24;Josnes;45.0;43.0
26875;67;24;Lamotte-Beuvron;41.0;34.0
26876;67;24;Lancé;46.0;34.0
26877;67;24;Lancôme;48.0;42.0
26878;67;24;Landes-le-Gaulois;38.0;33.0
26879;67;24;Langon-sur-Cher;44.0;37.0
26880;67;24;Lassay-sur-Croisne;38.0;36.0
26881;67;24;Lavardin;12.0;43.0
26882;67;24;Lestiou;41.0;43.0
26883;67;24;Lignières;31.0;36.0
26884;67;24;Lisle;52.0;35.0
26885;67;24;Loreux;36.0;34.0
26886;67;24;Lorges;44.0;43.0
26887;67;24;Lunay;36.0;45.0
26888;67;24;La Madeleine-Villefrouin;62.0;32.0
26889;67;24;Maray;32.0;30.0
26890;67;24;Marchenoir;45.0;37.0
26891;67;24;Marcilly-en-Beauce;52.0;39.0
26892;67;24;Marcilly-en-Gault;31.0;39.0
26893;67;24;Mareuil-sur-Cher;41.0;50.0
26894;67;24;La Marolle-en-Sologne;35.0;38.0
26895;67;24;Marolles;46.0;35.0
26896;67;24;Maslives;37.0;44.0
26897;67;24;Maves;44.0;39.0
26898;67;24;Mazangé;48.0;44.0
26899;67;24;Méhers;35.0;45.0
26900;67;24;Menars;43.0;38.0
26901;67;24;Mennetou-sur-Cher;40.0;40.0
26902;67;24;Mer;50.0;40.0
26903;67;24;Mesland;44.0;41.0
26904;67;24;Meslay;24.0;41.0
26905;67;24;Meusnes;40.0;42.0
26906;67;24;Millançay;33.0;38.0
26907;67;24;Moisy;41.0;41.0
26908;67;24;Valencisse;40.0;35.0
26909;67;24;Mondoubleau;34.0;42.0
26910;67;24;Monteaux;34.0;43.0
26911;67;24;Monthou-sur-Bièvre;49.0;27.0
26912;68;24;Monthou-sur-Cher;40.0;42.0
26913;68;24;Les Montils;41.0;55.0
26914;68;24;Montlivault;42.0;58.0
26915;68;24;Montoire-sur-le-Loir;35.0;44.0
26916;68;24;Mont-près-Chambord;41.0;50.0
26917;68;24;Montrichard Val de Cher;43.0;44.0
26918;68;24;Montrieux-en-Sologne;48.0;34.0
26919;68;24;Montrouveau;18.0;45.0
26920;68;24;Morée;37.0;55.0
26921;68;24;Muides-sur-Loire;40.0;49.0
26922;68;24;Mulsans;42.0;46.0
26923;68;24;Mur-de-Sologne;46.0;37.0
26924;68;24;Naveil;36.0;36.0
26925;68;24;Neung-sur-Beuvron;34.0;42.0
26926;68;24;Neuvy;48.0;44.0
26927;68;24;Nouan-le-Fuzelier;45.0;44.0
26928;68;24;Nourray;27.0;46.0
26929;68;24;Noyers-sur-Cher;41.0;44.0
26930;68;24;Oisly;39.0;38.0
26931;68;24;Veuzain-sur-Loire;43.0;48.0
26932;68;24;Orçay;33.0;42.0
26933;68;24;Ouchamps;35.0;36.0
26934;68;24;Oucques La Nouvelle;42.0;42.0
26935;68;24;Ouzouer-le-Doyen;31.0;46.0
26936;68;24;Beauce la Romaine;45.0;51.0
26937;68;24;Périgny;26.0;41.0
26938;68;24;Pezou;44.0;48.0
26939;68;24;Pierrefitte-sur-Sauldre;31.0;38.0
26940;68;24;Le Plessis-Dorin;26.0;54.0
26941;68;24;Le Plessis-l'Échelle;25.0;44.0
26942;68;24;Le Poislay;16.0;57.0
26943;68;24;Pontlevoy;45.0;32.0
26944;68;24;Pouillé;34.0;28.0
26945;68;24;Pray;43.0;43.0
26946;68;24;Prunay-Cassereau;51.0;45.0
26947;68;24;Pruniers-en-Sologne;38.0;45.0
26948;68;24;Rahart;49.0;46.0
26949;68;24;Renay;35.0;45.0
26950;68;24;Rhodon;34.0;45.0
26951;68;24;Rilly-sur-Loire;54.0;50.0
26952;68;24;Rocé;42.0;52.0
26953;68;24;Roches;22.0;41.0
26954;68;24;Les Roches-l'Évêque;37.0;42.0
26955;68;24;Romilly;23.0;34.0
26956;68;24;Romorantin-Lanthenay;49.0;34.0
26957;68;24;Rougeou;29.0;31.0
26958;68;24;Ruan-sur-Egvonne;56.0;44.0
26959;68;24;Saint-Aignan;41.0;45.0
26960;68;24;Saint-Amand-Longpré;36.0;40.0
26961;68;24;Sainte-Anne;50.0;39.0
26962;68;24;Saint-Arnoult;35.0;51.0
26963;68;24;Saint-Bohaire;35.0;57.0
26964;68;24;Saint-Claude-de-Diray;43.0;48.0
26965;68;24;Saint-Cyr-du-Gault;25.0;52.0
26966;68;24;Saint-Denis-sur-Loire;38.0;43.0
26967;68;24;Saint-Dyé-sur-Loire;35.0;40.0
26968;68;24;Saint-Étienne-des-Guérets;53.0;50.0
26969;68;24;Saint-Firmin-des-Prés;42.0;49.0
26970;68;24;Saint-Georges-sur-Cher;38.0;45.0
26971;68;24;Saint-Gervais-la-Forêt;41.0;47.0
26972;68;24;Saint-Gourgon;46.0;60.0
26973;68;24;Saint-Hilaire-la-Gravelle;36.0;53.0
26974;68;24;Saint-Jacques-des-Guérets;31.0;55.0
26975;68;24;Saint-Jean-Froidmentel;38.0;45.0
26976;68;24;Saint-Julien-de-Chédon;35.0;40.0
26977;68;24;Saint-Julien-sur-Cher;39.0;41.0
26978;68;24;Saint-Laurent-des-Bois;28.0;45.0
26979;68;24;Saint-Laurent-Nouan;52.0;42.0
26980;68;24;Saint-Léonard-en-Beauce;42.0;52.0
26981;68;24;Saint-Loup;34.0;47.0
