;DEP;REG;nom_commune;score_acces_interface_numerique_region;score_acces_interface_numerique_departement;score_competence_administratives_region;score_competence_administratives_departement
149;1;84;Frans;81.0;86.0;47.0;51.0
150;1;84;Garnerans;96.0;102.0;39.0;43.0
151;1;84;Genouilleux;70.0;74.0;43.0;46.0
152;1;84;Béard-Géovreissiat;67.0;70.0;41.0;44.0
153;1;84;Géovreisset;94.0;99.0;44.0;47.0
154;1;84;Gex;57.0;60.0;59.0;64.0
155;1;84;Giron;79.0;84.0;43.0;46.0
156;1;84;Gorrevod;95.0;101.0;42.0;46.0
157;1;84;Grand-Corent;98.0;105.0;16.0;17.0
158;1;84;Grièges;112.0;119.0;36.0;39.0
159;1;84;Grilly;76.0;82.0;36.0;40.0
160;1;84;Groissiat;79.0;83.0;38.0;41.0
161;1;84;Guéreins;89.0;95.0;37.0;40.0
162;1;84;Hautecourt-Romanèche;98.0;105.0;34.0;37.0
163;1;84;Hauteville-Lompnes;142.0;151.0;44.0;48.0
164;1;84;Hostiaz;133.0;145.0;16.0;18.0
165;1;84;Haut Valromey;111.0;118.0;39.0;42.0
166;1;84;Illiat;101.0;107.0;33.0;36.0
167;1;84;Injoux-Génissiat;77.0;81.0;53.0;58.0
168;1;84;Innimond;160.0;170.0;29.0;31.0
169;1;84;Izenave;118.0;125.0;45.0;49.0
170;1;84;Izernore;90.0;94.0;47.0;51.0
171;1;84;Izieu;115.0;122.0;38.0;41.0
172;1;84;Jassans-Riottier;112.0;118.0;46.0;50.0
173;1;84;Jasseron;90.0;97.0;37.0;40.0
174;1;84;Jayat;82.0;87.0;42.0;45.0
175;1;84;Journans;80.0;87.0;34.0;37.0
176;1;84;Joyeux;67.0;71.0;52.0;56.0
177;1;84;Jujurieux;100.0;107.0;45.0;49.0
178;1;84;Labalme;88.0;93.0;47.0;52.0
179;1;84;Lagnieu;107.0;114.0;47.0;51.0
180;1;84;Laiz;89.0;94.0;47.0;51.0
181;1;84;Le Poizat-Lalleyriat;72.0;77.0;43.0;47.0
182;1;84;Lancrans;76.0;80.0;49.0;53.0
183;1;84;Lantenay;105.0;111.0;38.0;41.0
184;1;84;Lapeyrouse;69.0;73.0;40.0;44.0
185;1;84;Lavours;153.0;164.0;24.0;26.0
186;1;84;Léaz;86.0;90.0;30.0;33.0
187;1;84;Lélex;97.0;104.0;49.0;54.0
188;1;84;Lent;88.0;94.0;39.0;42.0
189;1;84;Lescheroux;112.0;119.0;42.0;46.0
190;1;84;Leyment;65.0;69.0;44.0;48.0
191;1;84;Leyssard;72.0;77.0;44.0;48.0
192;1;84;Lhôpital;108.0;115.0;38.0;41.0
193;1;84;Lhuis;125.0;133.0;29.0;32.0
194;1;84;Lochieu;73.0;78.0;52.0;56.0
195;1;84;Lompnas;96.0;102.0;44.0;48.0
196;1;84;Lompnieu;134.0;144.0;12.0;13.0
197;1;84;Loyettes;80.0;84.0;45.0;49.0
198;1;84;Lurcy;93.0;99.0;41.0;45.0
199;1;84;Magnieu;89.0;94.0;38.0;42.0
200;1;84;Maillat;106.0;112.0;41.0;45.0
201;1;84;Malafretaz;90.0;96.0;50.0;54.0
202;1;84;Mantenay-Montlin;109.0;116.0;30.0;33.0
203;1;84;Manziat;107.0;114.0;39.0;42.0
204;1;84;Marboz;113.0;120.0;38.0;41.0
205;1;84;Marchamp;115.0;123.0;26.0;28.0
206;1;84;Marignieu;127.0;136.0;48.0;52.0
207;1;84;Marlieux;86.0;91.0;49.0;54.0
208;1;84;Marsonnas;102.0;108.0;41.0;44.0
209;1;84;Martignat;83.0;88.0;47.0;51.0
210;1;84;Massieux;74.0;80.0;40.0;44.0
211;1;84;Massignieu-de-Rives;135.0;143.0;38.0;41.0
212;1;84;Matafelon-Granges;85.0;90.0;31.0;34.0
213;1;84;Meillonnas;94.0;100.0;35.0;38.0
214;1;84;Mérignat;61.0;65.0;59.0;64.0
215;1;84;Messimy-sur-Saône;82.0;87.0;36.0;39.0
216;1;84;Meximieux;90.0;96.0;55.0;59.0
217;1;84;Bohas-Meyriat-Rignat;84.0;90.0;37.0;40.0
218;1;84;Mézériat;106.0;113.0;45.0;49.0
219;1;84;Mijoux;56.0;60.0;33.0;36.0
220;1;84;Mionnay;60.0;64.0;55.0;60.0
221;1;84;Miribel;92.0;98.0;50.0;55.0
222;1;84;Misérieux;67.0;71.0;59.0;64.0
223;1;84;Mogneneins;94.0;99.0;35.0;39.0
224;1;84;Montagnat;76.0;83.0;36.0;39.0
225;1;84;Montagnieu;99.0;105.0;34.0;36.0
226;1;84;Montanges;83.0;89.0;46.0;50.0
227;1;84;Montceaux;67.0;72.0;43.0;47.0
228;1;84;Montcet;66.0;70.0;52.0;57.0
229;1;84;Le Montellier;76.0;81.0;40.0;44.0
230;1;84;Monthieux;68.0;73.0;41.0;45.0
231;1;84;Montluel;99.0;104.0;52.0;56.0
232;1;84;Montmerle-sur-Saône;98.0;105.0;38.0;41.0
233;1;84;Montracol;82.0;87.0;42.0;45.0
234;1;84;Montréal-la-Cluse;119.0;125.0;47.0;51.0
235;1;84;Montrevel-en-Bresse;141.0;151.0;45.0;49.0
236;1;84;Nurieux-Volognat;93.0;99.0;41.0;44.0
237;1;84;Murs-et-Gélignieux;111.0;118.0;40.0;44.0
238;1;84;Nantua;125.0;132.0;51.0;56.0
239;1;84;Neuville-les-Dames;113.0;120.0;41.0;45.0
240;1;84;Neuville-sur-Ain;86.0;91.0;42.0;46.0
241;1;84;Les Neyrolles;127.0;132.0;45.0;49.0
242;1;84;Neyron;75.0;81.0;43.0;46.0
243;1;84;Niévroz;74.0;78.0;45.0;49.0
244;1;84;Nivollet-Montgriffon;73.0;79.0;38.0;41.0
245;1;84;Oncieu;119.0;128.0;40.0;44.0
246;1;84;Ordonnaz;121.0;129.0;36.0;39.0
247;1;84;Ornex;58.0;62.0;44.0;48.0
248;1;84;Outriaz;100.0;105.0;38.0;41.0
249;1;84;Oyonnax;132.0;138.0;48.0;52.0
250;1;84;Ozan;100.0;105.0;48.0;53.0
251;1;84;Parcieux;69.0;74.0;54.0;59.0
252;1;84;Parves et Nattages;81.0;88.0;33.0;36.0
253;1;84;Péron;51.0;54.0;47.0;51.0
254;1;84;Péronnas;121.0;129.0;47.0;51.0
255;1;84;Pérouges;120.0;127.0;46.0;50.0
256;1;84;Perrex;98.0;104.0;44.0;48.0
257;1;84;Peyriat;70.0;76.0;23.0;25.0
258;1;84;Peyrieu;95.0;102.0;33.0;36.0
259;1;84;Peyzieux-sur-Saône;44.0;47.0;47.0;51.0
260;1;84;Pirajoux;105.0;111.0;36.0;39.0
261;1;84;Pizay;75.0;80.0;51.0;55.0
262;1;84;Plagne;98.0;105.0;34.0;37.0
263;1;84;Le Plantay;66.0;70.0;50.0;55.0
264;1;84;Polliat;98.0;105.0;37.0;40.0
265;1;84;Pollieu;108.0;116.0;41.0;44.0
266;1;84;Poncin;105.0;112.0;43.0;47.0
267;1;84;Pont-d'Ain;111.0;117.0;42.0;46.0
268;1;84;Pont-de-Vaux;146.0;156.0;47.0;51.0
269;1;84;Pont-de-Veyle;138.0;147.0;55.0;59.0
270;1;84;Port;116.0;122.0;53.0;58.0
271;1;84;Pougny;67.0;71.0;45.0;49.0
272;1;84;Pouillat;88.0;95.0;48.0;52.0
273;1;84;Prémeyzel;125.0;131.0;22.0;24.0
274;1;84;Prémillieu;71.0;77.0;26.0;28.0
275;1;84;Prévessin-Moëns;47.0;50.0;44.0;48.0
276;1;84;Priay;77.0;83.0;35.0;38.0
277;1;84;Ramasse;84.0;89.0;36.0;39.0
278;1;84;Rancé;64.0;68.0;47.0;51.0
279;1;84;Relevant;95.0;101.0;37.0;40.0
280;1;84;Replonges;102.0;108.0;37.0;40.0
281;1;84;Revonnas;75.0;81.0;38.0;41.0
282;1;84;Reyrieux;89.0;95.0;43.0;47.0
283;1;84;Reyssouze;117.0;124.0;34.0;37.0
284;1;84;Rignieux-le-Franc;81.0;86.0;40.0;44.0
285;1;84;Romans;129.0;137.0;47.0;51.0
286;1;84;Rossillon;153.0;163.0;26.0;28.0
287;1;84;Ruffieu;115.0;123.0;36.0;39.0
288;1;84;Saint-Alban;106.0;114.0;53.0;58.0
289;1;84;Saint-André-de-Bâgé;87.0;92.0;40.0;44.0
290;1;84;Saint-André-de-Corcy;92.0;99.0;47.0;51.0
291;1;84;Saint-André-d'Huiriat;70.0;74.0;42.0;46.0
292;1;84;Saint-André-le-Bouchoux;80.0;84.0;38.0;42.0
293;1;84;Saint-André-sur-Vieux-Jonc;96.0;102.0;40.0;43.0
294;1;84;Saint-Bénigne;105.0;111.0;39.0;43.0
295;1;84;Groslée-Saint-Benoit;100.0;106.0;33.0;35.0
296;1;84;Saint-Bernard;100.0;108.0;35.0;38.0
297;1;84;Saint-Champ;121.0;129.0;16.0;17.0
298;1;84;Sainte-Croix;54.0;58.0;44.0;48.0
299;1;84;Saint-Cyr-sur-Menthon;84.0;90.0;40.0;43.0
300;1;84;Saint-Denis-lès-Bourg;116.0;124.0;38.0;41.0
301;1;84;Saint-Denis-en-Bugey;97.0;103.0;46.0;50.0
302;1;84;Saint-Didier-d'Aussiat;93.0;99.0;40.0;43.0
303;1;84;Saint-Didier-de-Formans;77.0;82.0;42.0;46.0
304;1;84;Saint-Didier-sur-Chalaronne;108.0;115.0;42.0;46.0
305;1;84;Saint-Éloi;83.0;89.0;35.0;38.0
306;1;84;Saint-Étienne-du-Bois;104.0;112.0;39.0;42.0
307;1;84;Saint-Étienne-sur-Chalaronne;82.0;87.0;46.0;50.0
